,neighborhood_name,district_name,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude
Neighborhood 63: Valdebebas - Valdefuentes (3607.13 €/m2) - District 9: Hortaleza,Valdebebas,Hortaleza,3607.13,10.34115550410272,0.7133215926799404,0.7008368607718584,40.4818094,-3.6164188
Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,Canillas,Hortaleza,3152.53,7.161642056031477,0.711950110989214,0.70223004739362,40.4618893,-3.6433517
Neighborhood 60: Palomas (3773.82 €/m2) - District 9: Hortaleza,Palomas,Hortaleza,3773.82,8.555448613104748,0.8863301761165565,0.46305379698820526,40.4522376,-3.6141158
Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,Virgen del Cortijo,Hortaleza,3636.96,8.617747549363735,0.4154041675940795,0.9096369482081683,40.4872436,-3.661223
Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,Pinar del Rey,Hortaleza,2915.33,7.734208521897196,0.5974021951863924,0.8019417791750718,40.4724696,-3.6489613
Neighborhood 57: Apóstol Santiago (2679.63 €/m2) - District 9: Hortaleza,Apóstol Santiago,Hortaleza,2679.63,7.623515055445942,0.4899638286812232,0.8717427639986678,40.4764884,-3.6594029
Neighborhood 34: Gaztambide (5000.0 €/m2) - District 6: Chamberí,Gaztambide,Chamberí,5000.0,2.233805406782775,-0.42128820323832766,0.9069268161280829,40.4349358,-3.7147092
Neighborhood 37: Nuevos Ministerios-Ríos Rosas (5000.0 €/m2) - District 6: Chamberí,Nuevos Ministerios,Chamberí,5000.0,3.457964164726447,0.2785112216523627,0.960432974972074,40.4466037,-3.6921892
Neighborhood 32: Almagro (6564.27 €/m2) - District 6: Chamberí,Almagro,Chamberí,6564.27,2.041707992687041,0.3850851088131572,0.9228810643687294,40.4336632,-3.6942857
Neighborhood 35: Trafalgar (5640.18 €/m2) - District 6: Chamberí,Trafalgar,Chamberí,5640.18,1.8292726160769848,0.11849037128834795,0.9929552013620501,40.4330613,-3.7010182
Neighborhood 33: Arapiles (4869.57 €/m2) - District 6: Chamberí,Arapiles,Chamberí,4869.57,2.0451609739161363,-0.19562840739742993,0.9806780951051906,40.4347638,-3.7083155
Neighborhood 36: Vallehermoso (4548.3 €/m2) - District 6: Chamberí,Vallehermoso,Chamberí,4548.3,3.0044248497034234,-0.20370397151455757,0.9790325285654181,40.4431893,-3.7108233
Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,Ventas,Ciudad Lineal,2686.93,3.753504200959252,0.9045482120040598,0.4263713547604464,40.4310642,-3.6635419
Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,Pueblo Nuevo,Ciudad Lineal,2578.87,5.437005859316588,0.9266626510587455,0.37589404242788643,40.4350329,-3.644171
Neighborhood 43: Atalaya (None €/m2) - District 7: Ciudad Lineal,Atalaya,Ciudad Lineal,,6.220225858568269,0.5230818710316325,0.8522824392172155,40.464389,-3.6651106
Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,Quintana,Ciudad Lineal,2900.58,5.045036472795497,0.9319074521316055,0.3626961547377907,40.4331142,-3.6481458
Neighborhood 46: San Juan Bautista (4098.7 €/m2) - District 7: Ciudad Lineal,San Juan Bautista,Ciudad Lineal,4098.7,5.507884287018929,0.7267660192968873,0.6868851091669963,40.4506953,-3.6563079
Neighborhood 44: Colina (4677.53 €/m2) - District 7: Ciudad Lineal,Colina,Ciudad Lineal,4677.53,5.881197688770703,0.6233899002985693,0.7819111408630394,40.4580463,-3.6602556
Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,Costillares,Ciudad Lineal,4235.69,7.230113126971384,0.4099893540977434,0.9120903077692006,40.4760473,-3.6685122
Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,Concepción,Ciudad Lineal,3341.09,5.167374900223467,0.8859776684082696,0.463727906300501,40.4382057,-3.6495784
Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,San Pascual,Ciudad Lineal,4015.76,5.139629362432539,0.8264508182122005,0.5630089209563063,40.4426834,-3.6534541
Neighborhood 28: El Viso (6255.45 €/m2) - District 5: Chamartín,El Viso,Chamartín,6255.45,3.51540600178834,0.4539779084625753,0.8910129396523631,40.4448882,-3.6847127
Neighborhood 29: Nueva España (5363.75 €/m2) - District 5: Chamartín,Nueva España,Chamartín,5363.75,5.51456201169255,0.3808941097347484,0.9246186658127628,40.4625939,-3.6787346
Neighborhood 26: Castilla (4354.35 €/m2) - District 5: Chamartín,Castilla,Chamartín,4354.35,6.918432699746376,0.287576593132272,0.9577576431866445,40.4763551,-3.6800358
Neighborhood 31: Bernabéu-Hispanoamérica (5170.22 €/m2) - District 5: Chamartín,Bernabéu,Chamartín,5170.22,4.259577973752568,0.32070341988839735,0.9471796643044478,40.4530225,-3.687422
Neighborhood 30: Prosperidad (4255.84 €/m2) - District 5: Chamartín,Prosperidad,Chamartín,4255.84,4.146184977289016,0.6823426317593362,0.7310325115094013,40.443946,-3.6701659
Neighborhood 27: Ciudad Jardín (4572.45 €/m2) - District 5: Chamartín,Ciudad Jardín,Chamartín,4572.45,4.357512483469665,0.5769327014706694,0.816791685788828,40.4487115,-3.6738706
Neighborhood 22: Lavapiés-Embajadores (4448.3 €/m2) - District 4: Centro,Lavapiés,Centro,4448.3,0.9365491307776784,0.23776214265606369,-0.9713234083041536,40.4085142,-3.7009495
Neighborhood 15: Opañel (2235.32 €/m2) - District 3: Carabanchel,Opañel,Carabanchel,2235.32,3.3212842382579013,-0.47431549590441646,-0.8803549342991993,40.3903949,-3.7221926
Neighborhood 14: Comillas (2527.59 €/m2) - District 3: Carabanchel,Comillas,Carabanchel,2527.59,2.6385805685867223,-0.25869584961766456,-0.9659588279997211,40.3937574,-3.7116516
Neighborhood 12: Abrantes (1964.55 €/m2) - District 3: Carabanchel,Abrantes,Carabanchel,1964.55,4.420300137270225,-0.45719732778215094,-0.8893652812364897,40.3813279,-3.7274551
Neighborhood 19: San Isidro (2323.93 €/m2) - District 3: Carabanchel,San Isidro,Carabanchel,2323.93,3.090129594742146,-0.7066648338777053,-0.7075484524473183,40.3970503,-3.7293542
Neighborhood 17: Puerta Bonita (1980.04 €/m2) - District 3: Carabanchel,Puerta Bonita,Carabanchel,1980.04,4.985926305619246,-0.6144960009063979,-0.788919935652563,40.3813279,-3.7397504
Neighborhood 18: Vista Alegre (2048.47 €/m2) - District 3: Carabanchel,Vista Alegre,Carabanchel,2048.47,4.380528410193492,-0.7049078715446326,-0.709298873983609,40.388772,-3.7400212
Neighborhood 16: Pau de Carabanchel (3120.54 €/m2) - District 3: Carabanchel,Pau Carabanchel,Carabanchel,3120.54,7.608046931984195,-0.6632327719787083,-0.7484131814535595,40.3655,-3.76312
Neighborhood 13: Buena Vista (1886.6 €/m2) - District 3: Carabanchel,Buena Vista,Carabanchel,1886.6,8720.60397717692,-0.9128253813926506,0.4083501231607038,25.858369,-100.3741013
Neighborhood 21: Huertas-Cortes (5000.0 €/m2) - District 4: Centro,Huertas,Centro,5000.0,0.863813692829998,0.8716153777394535,-0.4901904051367282,40.4129024,-3.6947036
